Station Name,Station Code,Lat,Long
banpas,BPS,23.401268,87.747445
bankura,BQK,23.224448,87.074685
bagrinagar,BQN,25.895944,73.787695
bhattiprolu,BQU,16.105587,80.788316
boribial,BRB,18.408161,74.649028
bargarh,BRG,21.333713,83.643333
baikunthpur road,BRH,23.318297,82.529268
biroliya,BRLY,25.174107,73.195074
birmitrapur,BRMP,22.397499,84.737138
barpali,BRPL,21.184412,83.595353
birsinghpur,BRS,23.367235,81.043221
bareilly,BE,28.337106,79.410776
banshlaibridge,BSBR,24.485821,87.860234
bhusandpur,BSDP,19.952192,85.476741
basikiratpur,BSKR,29.497230,78.213125
bassipathanam,BSPN,30.689021,76.409930
besroli,BSRL,26.991154,74.561191
barsathi,BSY,25.565749,82.473761
basharatganj,BTG,28.287868,79.285018
bhatkal,BTKL,13.989313,74.566008
babatpur,BTP,25.454977,82.880330
banthra,BTRA,27.929033,79.828008
bissau,BUB,28.240468,75.061380
badmal,BUDM,20.385443,83.270999
bariarpur,BUP,25.283041,86.574469
badausa,BUS,25.248752,80.651318
bauria junction,BVA,22.503200,88.163198
bayyavaram,BVM,17.660135,82.930230
bhilavdi,BVQ,17.008222,74.515840
belvandi,BWD,18.711212,74.622567
bawanikhera,BWK,28.939529,76.032490
barwasagar,BWR,25.351938,78.731790
bangarapet,BWY,12.985113,78.178729
billi,BXLL,24.460334,83.017820
bordhal,BXY,21.996257,78.348434
baryaram,BYHA,25.566736,82.226740
baijnathpur,BYP,25.900673,86.653844
bazidajatan,BZJT,29.612864,76.965187
bagnan,BZN,22.462080,87.969865
bhupiamao,VPO,25.875360,81.970512
bijaysota,VST,23.979420,81.090557
balwa,WAB,29.407173,77.301966
badnera junction,BD,20.857539,77.732681
baidyanathdham,BDME,24.489150,86.691994
balharshah,BPQ,19.848915,79.348095
bandel junction,BDC,22.923202,88.378352
bangalore cantt,BNC,12.993411,77.599369
bapatla,BPP,15.908480,80.468343
barabil,BBL,22.104630,85.369134
barhni,BNY,27.495672,82.791643
barsoi,BOE,25.650915,87.922594
bayana,BXN,26.916311,77.296610
bellary junction,BAY,15.145427,76.922197
bhadrakh,BHC,21.091064,86.515917
bhatapara,BYT,21.732935,81.946485
bhilwara,BHL,25.344179,74.631224
bhiwani,BNW,28.797921,76.125056
bhuj,BHUJ,23.266100,69.678415
bikaner,BKN,28.014545,73.315967
birur,RRB,13.592245,75.973331
bolpurshantiniketan,BHP,23.658354,87.698750
budaun,BEM,28.027835,79.136278
bandra,BA,19.055585,72.840398
bhagega,BAGA,27.677348,75.721053
bakal,BAKL,21.124124,80.941925
balugan,BALU,19.747557,85.200892
bano,BANO,22.664688,84.902606
barh,BARH,25.462240,85.709675
baruva,BAV,18.901191,84.554678
babrala,BBA,28.266606,78.403555
barabhum,BBM,23.091834,86.211725
bagbazar,BBR,22.605025,88.365188
bareilly city,BC,28.355845,79.403203
bacheli,BCHL,18.703824,81.238400
bhachau,BCO,23.304222,70.350614
barchi road,BCRD,21.952437,78.312099
bhadrachalam road,BDCR,17.550340,80.616049
badhada,BDHA,21.269720,71.337103
bhadli,BDI,21.023070,75.673460
bhadan,BDN,26.979461,78.737557
badnapur,BDU,19.874729,75.723030
bodwad,BDWD,20.903793,76.017167
badkulla,BDZ,23.305636,88.526209
behtagokul,BEG,27.531012,80.054894
bundki,BEK,29.522772,78.393486
beawar,BER,26.108440,74.314460
bcementnagar,BEY,15.486290,78.195332
bhabta,BFT,23.986870,88.241565
balagarh,BGAE,23.122157,88.453162
borraguhallu,BGHU,18.275062,83.040196
bhagwanpura,BGPR,25.407277,73.354087
bisugirsharif,BGSF,18.347703,79.483149
bhigwan,BGVN,18.317124,74.774622
bahadurgarh,BGZ,28.701281,76.930864
baheri,BHI,28.357141,79.401377
bhalki,BHLK,18.047266,77.228162
bhansi,BHNS,18.777804,81.265099
bhatel,BHTL,22.163868,69.493415
bhua,BHUA,25.944881,79.350423
bhayavadar,BHY,21.847941,70.236234
bidadi,BID,12.800521,77.390396
birnagar,BIJ,23.236414,88.551797
bilimora junction,BIM,20.765665,72.970303
bheempura,BIPR,25.120541,72.384973
bishengarh,BISH,25.448681,72.574959
bahjoi,BJ,28.401084,78.631078
bijni,BJF,26.497658,90.703535
barajamda,BJMD,22.165269,85.409817
bakra road,BK,25.213677,72.488694
bankhedi,BKH,22.775370,78.538491
bakudi,BKLE,24.926932,87.780278
bokarothermal,BKRO,23.785423,85.875851
bolda,BLC,19.551687,77.273266
bilharghat,BLG,26.681591,82.269283
bantanahal,BLL,15.163026,77.275866
bhalukmara,BLMR,26.669526,94.123813
bilaspur road,BLOR,28.865072,79.253716
bala road,BLRD,22.797305,71.696503
belsonda,BLSN,21.154687,82.035378
balawali,BLW,29.627370,78.112283
budhlada,BLZ,29.922011,75.548968
bhimadolu,BMD,16.808272,81.261285
betamcherla,BMH,15.449324,78.148450
bhimkhoj,BMKJ,21.080100,82.288863
brahmanpalli,BMPL,17.833066,78.450327
bamsin,BMSN,25.762750,72.544226
bondamunda,BNDM,22.235775,84.925346
bhimnath,BNH,22.239516,71.922120
bansthaliniwai,BNLW,26.384037,75.935389
bhanapur,BNP,15.387216,76.036562
banbasa,BNSA,28.991989,80.073737
bhanvad,BNUD,21.932892,69.798545
badshahnagar,BNZ,26.868956,80.961728
bainchi,BOI,23.119562,88.196640
boinda,BONA,20.919244,84.752282
belampalli,BPA,19.053569,79.486202
belpahar,BPH,21.827321,83.848431
baripada,BPO,21.923270,86.737728
badampudi,BPY,16.827993,81.473244
bhagwangola,BQG,24.334809,88.307703
bighapur,BQP,26.354985,80.693298
bandhbareta,BR,26.910549,77.364266
bhandara road,BRD,21.238370,79.645938
baraigram junction,BRGM,24.681627,92.341238
brajrajnagar,BRJN,21.822956,83.924372
barabambo,BRM,22.701373,85.728220
baramati,BRMT,18.153743,74.578137
birapatti,BRPT,25.406303,82.912804
bhortex,BRTK,21.098704,75.004068
barhiya,BRYA,25.282730,86.015463
bulandshahr,BSC,28.393576,77.847768
badshahpur,BSE,25.652344,82.191407
bishrampur,BSPR,23.178850,82.983131
bagevadi road,BSRX,16.480069,75.828256
bharwasumerpur,BSZ,25.826649,80.168443
